Method,Train_Task,Round,Eval_Task,Accuracy
none_tabular_t7_a0.5,4,17,0,0.0
none_tabular_t7_a0.5,4,17,1,0.0
none_tabular_t7_a0.5,4,17,2,0.0
none_tabular_t7_a0.5,4,17,3,7.18849840255591
none_tabular_t7_a0.5,4,17,4,86.38573743922204
none_tabular_t7_a0.5,4,18,0,0.0
none_tabular_t7_a0.5,4,18,1,0.0
none_tabular_t7_a0.5,4,18,2,0.0
none_tabular_t7_a0.5,4,18,3,5.111821086261981
none_tabular_t7_a0.5,4,18,4,86.87196110210697
none_tabular_t7_a0.5,4,19,0,0.0
none_tabular_t7_a0.5,4,19,1,0.0
none_tabular_t7_a0.5,4,19,2,0.0
none_tabular_t7_a0.5,4,19,3,3.194888178913738
none_tabular_t7_a0.5,4,19,4,87.52025931928688
none_tabular_t7_a0.5,4,20,0,0.0
none_tabular_t7_a0.5,4,20,1,0.0
none_tabular_t7_a0.5,4,20,2,0.0
none_tabular_t7_a0.5,4,20,3,2.7156549520766773
none_tabular_t7_a0.5,4,20,4,87.68233387358185
none_tabular_t7_a0.5,4,21,0,0.0
none_tabular_t7_a0.5,4,21,1,0.0
none_tabular_t7_a0.5,4,21,2,0.0
none_tabular_t7_a0.5,4,21,3,1.9169329073482428
none_tabular_t7_a0.5,4,21,4,87.52025931928688
none_tabular_t7_a0.5,4,22,0,0.0
none_tabular_t7_a0.5,4,22,1,0.0
none_tabular_t7_a0.5,4,22,2,0.0
none_tabular_t7_a0.5,4,22,3,1.597444089456869
none_tabular_t7_a0.5,4,22,4,87.68233387358185
none_tabular_t7_a0.5,4,23,0,0.0
none_tabular_t7_a0.5,4,23,1,0.0
none_tabular_t7_a0.5,4,23,2,0.0
none_tabular_t7_a0.5,4,23,3,0.7987220447284346
none_tabular_t7_a0.5,4,23,4,87.68233387358185
none_tabular_t7_a0.5,4,24,0,0.0
none_tabular_t7_a0.5,4,24,1,0.0
none_tabular_t7_a0.5,4,24,2,0.0
none_tabular_t7_a0.5,4,24,3,0.6389776357827476
none_tabular_t7_a0.5,4,24,4,88.0064829821718
none_tabular_t7_a0.5,4,25,0,0.0
none_tabular_t7_a0.5,4,25,1,0.0
none_tabular_t7_a0.5,4,25,2,0.0
none_tabular_t7_a0.5,4,25,3,0.4792332268370607
none_tabular_t7_a0.5,4,25,4,88.33063209076175
none_tabular_t7_a0.5,4,26,0,0.0
none_tabular_t7_a0.5,4,26,1,0.0
none_tabular_t7_a0.5,4,26,2,0.0
none_tabular_t7_a0.5,4,26,3,0.1597444089456869
none_tabular_t7_a0.5,4,26,4,88.81685575364668
none_tabular_t7_a0.5,4,27,0,0.0
none_tabular_t7_a0.5,4,27,1,0.0
none_tabular_t7_a0.5,4,27,2,0.0
none_tabular_t7_a0.5,4,27,3,0.1597444089456869
none_tabular_t7_a0.5,4,27,4,88.97893030794165
none_tabular_t7_a0.5,4,28,0,0.0
none_tabular_t7_a0.5,4,28,1,0.0
none_tabular_t7_a0.5,4,28,2,0.0
none_tabular_t7_a0.5,4,28,3,0.0
none_tabular_t7_a0.5,4,28,4,89.46515397082658
none_tabular_t7_a0.5,4,29,0,0.0
none_tabular_t7_a0.5,4,29,1,0.0
none_tabular_t7_a0.5,4,29,2,0.0
none_tabular_t7_a0.5,4,29,3,0.0
none_tabular_t7_a0.5,4,29,4,89.78930307941653
none_tabular_t7_a0.5,4,30,0,0.0
none_tabular_t7_a0.5,4,30,1,0.0
none_tabular_t7_a0.5,4,30,2,0.0
none_tabular_t7_a0.5,4,30,3,0.0
none_tabular_t7_a0.5,4,30,4,90.11345218800648
none_tabular_t7_a0.5,4,31,0,0.0
none_tabular_t7_a0.5,4,31,1,0.0
none_tabular_t7_a0.5,4,31,2,0.0
none_tabular_t7_a0.5,4,31,3,0.0
none_tabular_t7_a0.5,4,31,4,90.76175040518639
none_tabular_t7_a0.5,4,32,0,0.0
none_tabular_t7_a0.5,4,32,1,0.0
none_tabular_t7_a0.5,4,32,2,0.0
none_tabular_t7_a0.5,4,32,3,0.0
none_tabular_t7_a0.5,4,32,4,90.92382495948137
none_tabular_t7_a0.5,4,33,0,0.0
none_tabular_t7_a0.5,4,33,1,0.0
none_tabular_t7_a0.5,4,33,2,0.0
none_tabular_t7_a0.5,4,33,3,0.0
none_tabular_t7_a0.5,4,33,4,91.08589951377634
none_tabular_t7_a0.5,4,34,0,0.0
none_tabular_t7_a0.5,4,34,1,0.0
none_tabular_t7_a0.5,4,34,2,0.0
none_tabular_t7_a0.5,4,34,3,0.0
none_tabular_t7_a0.5,4,34,4,91.24797406807131
none_tabular_t7_a0.5,4,35,0,0.0
none_tabular_t7_a0.5,4,35,1,0.0
none_tabular_t7_a0.5,4,35,2,0.0
none_tabular_t7_a0.5,4,35,3,0.0
none_tabular_t7_a0.5,4,35,4,91.41004862236629
none_tabular_t7_a0.5,4,36,0,0.0
none_tabular_t7_a0.5,4,36,1,0.0
none_tabular_t7_a0.5,4,36,2,0.0
none_tabular_t7_a0.5,4,36,3,0.0
none_tabular_t7_a0.5,4,36,4,91.57212317666126
none_tabular_t7_a0.5,4,37,0,0.0
none_tabular_t7_a0.5,4,37,1,0.0
none_tabular_t7_a0.5,4,37,2,0.0
none_tabular_t7_a0.5,4,37,3,0.0
none_tabular_t7_a0.5,4,37,4,92.05834683954619
none_tabular_t7_a0.5,4,38,0,0.0
none_tabular_t7_a0.5,4,38,1,0.0
none_tabular_t7_a0.5,4,38,2,0.0
none_tabular_t7_a0.5,4,38,3,0.0
none_tabular_t7_a0.5,4,38,4,92.54457050243111
none_tabular_t7_a0.5,4,39,0,0.0
none_tabular_t7_a0.5,4,39,1,0.0
none_tabular_t7_a0.5,4,39,2,0.0
none_tabular_t7_a0.5,4,39,3,0.0
none_tabular_t7_a0.5,4,39,4,92.86871961102106
none_tabular_t7_a0.5,4,40,0,0.0
none_tabular_t7_a0.5,4,40,1,0.0
none_tabular_t7_a0.5,4,40,2,0.0
none_tabular_t7_a0.5,4,40,3,0.0
none_tabular_t7_a0.5,4,40,4,92.70664505672609
none_tabular_t7_a0.5,4,41,0,0.0
none_tabular_t7_a0.5,4,41,1,0.0
none_tabular_t7_a0.5,4,41,2,0.0
none_tabular_t7_a0.5,4,41,3,0.0
none_tabular_t7_a0.5,4,41,4,92.70664505672609
none_tabular_t7_a0.5,4,42,0,0.0
none_tabular_t7_a0.5,4,42,1,0.0
none_tabular_t7_a0.5,4,42,2,0.0
none_tabular_t7_a0.5,4,42,3,0.0
none_tabular_t7_a0.5,4,42,4,92.70664505672609
none_tabular_t7_a0.5,4,43,0,0.0
none_tabular_t7_a0.5,4,43,1,0.0
none_tabular_t7_a0.5,4,43,2,0.0
none_tabular_t7_a0.5,4,43,3,0.0
none_tabular_t7_a0.5,4,43,4,92.86871961102106
none_tabular_t7_a0.5,4,44,0,0.0
none_tabular_t7_a0.5,4,44,1,0.0
none_tabular_t7_a0.5,4,44,2,0.0
none_tabular_t7_a0.5,4,44,3,0.0
none_tabular_t7_a0.5,4,44,4,93.354943273906
none_tabular_t7_a0.5,4,45,0,0.0
none_tabular_t7_a0.5,4,45,1,0.0
none_tabular_t7_a0.5,4,45,2,0.0
none_tabular_t7_a0.5,4,45,3,0.0
none_tabular_t7_a0.5,4,45,4,93.354943273906
none_tabular_t7_a0.5,4,46,0,0.0
none_tabular_t7_a0.5,4,46,1,0.0
none_tabular_t7_a0.5,4,46,2,0.0
none_tabular_t7_a0.5,4,46,3,0.0
none_tabular_t7_a0.5,4,46,4,93.51701782820098
none_tabular_t7_a0.5,4,47,0,0.0
none_tabular_t7_a0.5,4,47,1,0.0
none_tabular_t7_a0.5,4,47,2,0.0
none_tabular_t7_a0.5,4,47,3,0.0
none_tabular_t7_a0.5,4,47,4,93.51701782820098
none_tabular_t7_a0.5,4,48,0,0.0
none_tabular_t7_a0.5,4,48,1,0.0
none_tabular_t7_a0.5,4,48,2,0.0
none_tabular_t7_a0.5,4,48,3,0.0
none_tabular_t7_a0.5,4,48,4,93.51701782820098
none_tabular_t7_a0.5,4,49,0,0.0
none_tabular_t7_a0.5,4,49,1,0.0
none_tabular_t7_a0.5,4,49,2,0.0
none_tabular_t7_a0.5,4,49,3,0.0
none_tabular_t7_a0.5,4,49,4,93.51701782820098
none_tabular_t7_a0.5,4,50,0,0.0
none_tabular_t7_a0.5,4,50,1,0.0
none_tabular_t7_a0.5,4,50,2,0.0
none_tabular_t7_a0.5,4,50,3,0.0
none_tabular_t7_a0.5,4,50,4,93.51701782820098
none_tabular_t7_a0.5,4,51,0,0.0
none_tabular_t7_a0.5,4,51,1,0.0
none_tabular_t7_a0.5,4,51,2,0.0
none_tabular_t7_a0.5,4,51,3,0.0
none_tabular_t7_a0.5,4,51,4,93.51701782820098
none_tabular_t7_a0.5,4,52,0,0.0
none_tabular_t7_a0.5,4,52,1,0.0
none_tabular_t7_a0.5,4,52,2,0.0
none_tabular_t7_a0.5,4,52,3,0.0
none_tabular_t7_a0.5,4,52,4,93.67909238249595
none_tabular_t7_a0.5,4,53,0,0.0
none_tabular_t7_a0.5,4,53,1,0.0
none_tabular_t7_a0.5,4,53,2,0.0
none_tabular_t7_a0.5,4,53,3,0.0
none_tabular_t7_a0.5,4,53,4,93.84116693679093
none_tabular_t7_a0.5,4,54,0,0.0
none_tabular_t7_a0.5,4,54,1,0.0
none_tabular_t7_a0.5,4,54,2,0.0
none_tabular_t7_a0.5,4,54,3,0.0
none_tabular_t7_a0.5,4,54,4,94.0032414910859
none_tabular_t7_a0.5,4,55,0,0.0
none_tabular_t7_a0.5,4,55,1,0.0
none_tabular_t7_a0.5,4,55,2,0.0
none_tabular_t7_a0.5,4,55,3,0.0
none_tabular_t7_a0.5,4,55,4,94.0032414910859
none_tabular_t7_a0.5,4,56,0,0.0
none_tabular_t7_a0.5,4,56,1,0.0
none_tabular_t7_a0.5,4,56,2,0.0
none_tabular_t7_a0.5,4,56,3,0.0
none_tabular_t7_a0.5,4,56,4,94.0032414910859
none_tabular_t7_a0.5,4,57,0,0.0
none_tabular_t7_a0.5,4,57,1,0.0
none_tabular_t7_a0.5,4,57,2,0.0
none_tabular_t7_a0.5,4,57,3,0.0
none_tabular_t7_a0.5,4,57,4,94.16531604538088
none_tabular_t7_a0.5,4,58,0,0.0
none_tabular_t7_a0.5,4,58,1,0.0
none_tabular_t7_a0.5,4,58,2,0.0
none_tabular_t7_a0.5,4,58,3,0.0
none_tabular_t7_a0.5,4,58,4,94.32739059967585
none_tabular_t7_a0.5,4,59,0,0.0
none_tabular_t7_a0.5,4,59,1,0.0
none_tabular_t7_a0.5,4,59,2,0.0
none_tabular_t7_a0.5,4,59,3,0.0
none_tabular_t7_a0.5,4,59,4,94.32739059967585
none_tabular_t7_a0.5,4,60,0,0.0
none_tabular_t7_a0.5,4,60,1,0.0
none_tabular_t7_a0.5,4,60,2,0.0
none_tabular_t7_a0.5,4,60,3,0.0
none_tabular_t7_a0.5,4,60,4,94.32739059967585
none_tabular_t7_a0.5,4,61,0,0.0
none_tabular_t7_a0.5,4,61,1,0.0
none_tabular_t7_a0.5,4,61,2,0.0
none_tabular_t7_a0.5,4,61,3,0.0
none_tabular_t7_a0.5,4,61,4,94.32739059967585
none_tabular_t7_a0.5,4,62,0,0.0
none_tabular_t7_a0.5,4,62,1,0.0
none_tabular_t7_a0.5,4,62,2,0.0
none_tabular_t7_a0.5,4,62,3,0.0
none_tabular_t7_a0.5,4,62,4,94.32739059967585
none_tabular_t7_a0.5,4,63,0,0.0
none_tabular_t7_a0.5,4,63,1,0.0
none_tabular_t7_a0.5,4,63,2,0.0
none_tabular_t7_a0.5,4,63,3,0.0
none_tabular_t7_a0.5,4,63,4,94.48946515397083
none_tabular_t7_a0.5,4,64,0,0.0
none_tabular_t7_a0.5,4,64,1,0.0
none_tabular_t7_a0.5,4,64,2,0.0
none_tabular_t7_a0.5,4,64,3,0.0
none_tabular_t7_a0.5,4,64,4,94.48946515397083
none_tabular_t7_a0.5,4,65,0,0.0
none_tabular_t7_a0.5,4,65,1,0.0
none_tabular_t7_a0.5,4,65,2,0.0
none_tabular_t7_a0.5,4,65,3,0.0
none_tabular_t7_a0.5,4,65,4,94.48946515397083
none_tabular_t7_a0.5,4,66,0,0.0
none_tabular_t7_a0.5,4,66,1,0.0
none_tabular_t7_a0.5,4,66,2,0.0
none_tabular_t7_a0.5,4,66,3,0.0
none_tabular_t7_a0.5,4,66,4,94.6515397082658
none_tabular_t7_a0.5,4,67,0,0.0
none_tabular_t7_a0.5,4,67,1,0.0
none_tabular_t7_a0.5,4,67,2,0.0
none_tabular_t7_a0.5,4,67,3,0.0
none_tabular_t7_a0.5,4,67,4,94.6515397082658
none_tabular_t7_a0.5,4,68,0,0.0
none_tabular_t7_a0.5,4,68,1,0.0
none_tabular_t7_a0.5,4,68,2,0.0
none_tabular_t7_a0.5,4,68,3,0.0
none_tabular_t7_a0.5,4,68,4,94.6515397082658
none_tabular_t7_a0.5,4,69,0,0.0
none_tabular_t7_a0.5,4,69,1,0.0
none_tabular_t7_a0.5,4,69,2,0.0
none_tabular_t7_a0.5,4,69,3,0.0
none_tabular_t7_a0.5,4,69,4,94.6515397082658
none_tabular_t7_a0.5,4,70,0,0.0
none_tabular_t7_a0.5,4,70,1,0.0
none_tabular_t7_a0.5,4,70,2,0.0
none_tabular_t7_a0.5,4,70,3,0.0
none_tabular_t7_a0.5,4,70,4,94.32739059967585
none_tabular_t7_a0.5,4,71,0,0.0
none_tabular_t7_a0.5,4,71,1,0.0
none_tabular_t7_a0.5,4,71,2,0.0
none_tabular_t7_a0.5,4,71,3,0.0
none_tabular_t7_a0.5,4,71,4,94.48946515397083
none_tabular_t7_a0.5,4,72,0,0.0
none_tabular_t7_a0.5,4,72,1,0.0
none_tabular_t7_a0.5,4,72,2,0.0
none_tabular_t7_a0.5,4,72,3,0.0
none_tabular_t7_a0.5,4,72,4,94.48946515397083
none_tabular_t7_a0.5,4,73,0,0.0
none_tabular_t7_a0.5,4,73,1,0.0
none_tabular_t7_a0.5,4,73,2,0.0
none_tabular_t7_a0.5,4,73,3,0.0
none_tabular_t7_a0.5,4,73,4,94.48946515397083
none_tabular_t7_a0.5,4,74,0,0.0
none_tabular_t7_a0.5,4,74,1,0.0
none_tabular_t7_a0.5,4,74,2,0.0
none_tabular_t7_a0.5,4,74,3,0.0
none_tabular_t7_a0.5,4,74,4,94.81361426256078
none_tabular_t7_a0.5,4,75,0,0.0
none_tabular_t7_a0.5,4,75,1,0.0
none_tabular_t7_a0.5,4,75,2,0.0
none_tabular_t7_a0.5,4,75,3,0.0
none_tabular_t7_a0.5,4,75,4,94.97568881685575
none_tabular_t7_a0.5,4,76,0,0.0
none_tabular_t7_a0.5,4,76,1,0.0
none_tabular_t7_a0.5,4,76,2,0.0
none_tabular_t7_a0.5,4,76,3,0.0
none_tabular_t7_a0.5,4,76,4,94.81361426256078
none_tabular_t7_a0.5,4,77,0,0.0
none_tabular_t7_a0.5,4,77,1,0.0
none_tabular_t7_a0.5,4,77,2,0.0
none_tabular_t7_a0.5,4,77,3,0.0
none_tabular_t7_a0.5,4,77,4,94.97568881685575
none_tabular_t7_a0.5,4,78,0,0.0
none_tabular_t7_a0.5,4,78,1,0.0
none_tabular_t7_a0.5,4,78,2,0.0
none_tabular_t7_a0.5,4,78,3,0.0
none_tabular_t7_a0.5,4,78,4,94.97568881685575
none_tabular_t7_a0.5,4,79,0,0.0
none_tabular_t7_a0.5,4,79,1,0.0
none_tabular_t7_a0.5,4,79,2,0.0
none_tabular_t7_a0.5,4,79,3,0.0
none_tabular_t7_a0.5,4,79,4,95.13776337115073
none_tabular_t7_a0.5,4,80,0,0.0
none_tabular_t7_a0.5,4,80,1,0.0
none_tabular_t7_a0.5,4,80,2,0.0
none_tabular_t7_a0.5,4,80,3,0.0
none_tabular_t7_a0.5,4,80,4,95.13776337115073
none_tabular_t7_a0.5,4,81,0,0.0
none_tabular_t7_a0.5,4,81,1,0.0
none_tabular_t7_a0.5,4,81,2,0.0
none_tabular_t7_a0.5,4,81,3,0.0
none_tabular_t7_a0.5,4,81,4,95.13776337115073
none_tabular_t7_a0.5,4,82,0,0.0
none_tabular_t7_a0.5,4,82,1,0.0
none_tabular_t7_a0.5,4,82,2,0.0
none_tabular_t7_a0.5,4,82,3,0.0
none_tabular_t7_a0.5,4,82,4,95.13776337115073
none_tabular_t7_a0.5,4,83,0,0.0
none_tabular_t7_a0.5,4,83,1,0.0
none_tabular_t7_a0.5,4,83,2,0.0
none_tabular_t7_a0.5,4,83,3,0.0
none_tabular_t7_a0.5,4,83,4,95.13776337115073
none_tabular_t7_a0.5,4,84,0,0.0
none_tabular_t7_a0.5,4,84,1,0.0
none_tabular_t7_a0.5,4,84,2,0.0
none_tabular_t7_a0.5,4,84,3,0.0
none_tabular_t7_a0.5,4,84,4,95.13776337115073
none_tabular_t7_a0.5,4,85,0,0.0
none_tabular_t7_a0.5,4,85,1,0.0
none_tabular_t7_a0.5,4,85,2,0.0
none_tabular_t7_a0.5,4,85,3,0.0
none_tabular_t7_a0.5,4,85,4,95.13776337115073
none_tabular_t7_a0.5,4,86,0,0.0
none_tabular_t7_a0.5,4,86,1,0.0
none_tabular_t7_a0.5,4,86,2,0.0
none_tabular_t7_a0.5,4,86,3,0.0
none_tabular_t7_a0.5,4,86,4,95.13776337115073
none_tabular_t7_a0.5,4,87,0,0.0
none_tabular_t7_a0.5,4,87,1,0.0
none_tabular_t7_a0.5,4,87,2,0.0
none_tabular_t7_a0.5,4,87,3,0.0
none_tabular_t7_a0.5,4,87,4,95.13776337115073
none_tabular_t7_a0.5,4,88,0,0.0
none_tabular_t7_a0.5,4,88,1,0.0
none_tabular_t7_a0.5,4,88,2,0.0
none_tabular_t7_a0.5,4,88,3,0.0
none_tabular_t7_a0.5,4,88,4,95.13776337115073
none_tabular_t7_a0.5,4,89,0,0.0
none_tabular_t7_a0.5,4,89,1,0.0
none_tabular_t7_a0.5,4,89,2,0.0
none_tabular_t7_a0.5,4,89,3,0.0
none_tabular_t7_a0.5,4,89,4,95.13776337115073
none_tabular_t7_a0.5,4,90,0,0.0
none_tabular_t7_a0.5,4,90,1,0.0
none_tabular_t7_a0.5,4,90,2,0.0
none_tabular_t7_a0.5,4,90,3,0.0
none_tabular_t7_a0.5,4,90,4,95.13776337115073
none_tabular_t7_a0.5,4,91,0,0.0
none_tabular_t7_a0.5,4,91,1,0.0
none_tabular_t7_a0.5,4,91,2,0.0
none_tabular_t7_a0.5,4,91,3,0.0
none_tabular_t7_a0.5,4,91,4,95.13776337115073
none_tabular_t7_a0.5,4,92,0,0.0
none_tabular_t7_a0.5,4,92,1,0.0
none_tabular_t7_a0.5,4,92,2,0.0
none_tabular_t7_a0.5,4,92,3,0.0
none_tabular_t7_a0.5,4,92,4,95.13776337115073
none_tabular_t7_a0.5,4,93,0,0.0
none_tabular_t7_a0.5,4,93,1,0.0
none_tabular_t7_a0.5,4,93,2,0.0
none_tabular_t7_a0.5,4,93,3,0.0
none_tabular_t7_a0.5,4,93,4,95.13776337115073
none_tabular_t7_a0.5,4,94,0,0.0
none_tabular_t7_a0.5,4,94,1,0.0
none_tabular_t7_a0.5,4,94,2,0.0
none_tabular_t7_a0.5,4,94,3,0.0
none_tabular_t7_a0.5,4,94,4,95.13776337115073
none_tabular_t7_a0.5,4,95,0,0.0
none_tabular_t7_a0.5,4,95,1,0.0
none_tabular_t7_a0.5,4,95,2,0.0
none_tabular_t7_a0.5,4,95,3,0.0
none_tabular_t7_a0.5,4,95,4,94.97568881685575
none_tabular_t7_a0.5,4,96,0,0.0
none_tabular_t7_a0.5,4,96,1,0.0
none_tabular_t7_a0.5,4,96,2,0.0
none_tabular_t7_a0.5,4,96,3,0.0
none_tabular_t7_a0.5,4,96,4,95.13776337115073
none_tabular_t7_a0.5,4,97,0,0.0
none_tabular_t7_a0.5,4,97,1,0.0
none_tabular_t7_a0.5,4,97,2,0.0
none_tabular_t7_a0.5,4,97,3,0.0
none_tabular_t7_a0.5,4,97,4,95.13776337115073
none_tabular_t7_a0.5,4,98,0,0.0
none_tabular_t7_a0.5,4,98,1,0.0
none_tabular_t7_a0.5,4,98,2,0.0
none_tabular_t7_a0.5,4,98,3,0.0
none_tabular_t7_a0.5,4,98,4,95.13776337115073
none_tabular_t7_a0.5,4,99,0,0.0
none_tabular_t7_a0.5,4,99,1,0.0
none_tabular_t7_a0.5,4,99,2,0.0
none_tabular_t7_a0.5,4,99,3,0.0
none_tabular_t7_a0.5,4,99,4,95.13776337115073
none_tabular_t7_a0.5,4,100,0,0.0
none_tabular_t7_a0.5,4,100,1,0.0
none_tabular_t7_a0.5,4,100,2,0.0
none_tabular_t7_a0.5,4,100,3,0.0
none_tabular_t7_a0.5,4,100,4,95.13776337115073
none_tabular_t7_a0.5,5,1,0,0.0
none_tabular_t7_a0.5,5,1,1,0.0
none_tabular_t7_a0.5,5,1,2,0.0
none_tabular_t7_a0.5,5,1,3,0.0
none_tabular_t7_a0.5,5,1,4,94.97568881685575
none_tabular_t7_a0.5,5,1,5,0.0
none_tabular_t7_a0.5,5,2,0,0.0
none_tabular_t7_a0.5,5,2,1,0.0
none_tabular_t7_a0.5,5,2,2,0.0
none_tabular_t7_a0.5,5,2,3,0.1597444089456869
none_tabular_t7_a0.5,5,2,4,92.70664505672609
none_tabular_t7_a0.5,5,2,5,0.0
none_tabular_t7_a0.5,5,3,0,0.0
none_tabular_t7_a0.5,5,3,1,0.0
none_tabular_t7_a0.5,5,3,2,0.0
none_tabular_t7_a0.5,5,3,3,0.3194888178913738
none_tabular_t7_a0.5,5,3,4,88.6547811993517
none_tabular_t7_a0.5,5,3,5,0.0
none_tabular_t7_a0.5,5,4,0,0.0
none_tabular_t7_a0.5,5,4,1,0.0
none_tabular_t7_a0.5,5,4,2,0.0
none_tabular_t7_a0.5,5,4,3,0.4792332268370607
none_tabular_t7_a0.5,5,4,4,81.36142625607779
none_tabular_t7_a0.5,5,4,5,0.0
none_tabular_t7_a0.5,5,5,0,0.0
none_tabular_t7_a0.5,5,5,1,0.0
none_tabular_t7_a0.5,5,5,2,0.0
none_tabular_t7_a0.5,5,5,3,0.6389776357827476
none_tabular_t7_a0.5,5,5,4,76.49918962722853
none_tabular_t7_a0.5,5,5,5,0.0
none_tabular_t7_a0.5,5,6,0,0.0
none_tabular_t7_a0.5,5,6,1,0.0
none_tabular_t7_a0.5,5,6,2,0.0
none_tabular_t7_a0.5,5,6,3,1.4376996805111821
none_tabular_t7_a0.5,5,6,4,72.77147487844408
none_tabular_t7_a0.5,5,6,5,16.952789699570815
none_tabular_t7_a0.5,5,7,0,0.0
none_tabular_t7_a0.5,5,7,1,0.0
none_tabular_t7_a0.5,5,7,2,0.0
none_tabular_t7_a0.5,5,7,3,1.9169329073482428
none_tabular_t7_a0.5,5,7,4,69.69205834683954
none_tabular_t7_a0.5,5,7,5,43.347639484978544
none_tabular_t7_a0.5,5,8,0,0.0
none_tabular_t7_a0.5,5,8,1,0.0
none_tabular_t7_a0.5,5,8,2,0.0
none_tabular_t7_a0.5,5,8,3,2.7156549520766773
none_tabular_t7_a0.5,5,8,4,60.94003241491086
none_tabular_t7_a0.5,5,8,5,65.23605150214593
none_tabular_t7_a0.5,5,9,0,0.0
none_tabular_t7_a0.5,5,9,1,0.0
none_tabular_t7_a0.5,5,9,2,0.0
none_tabular_t7_a0.5,5,9,3,3.5143769968051117
none_tabular_t7_a0.5,5,9,4,46.677471636953
none_tabular_t7_a0.5,5,9,5,84.12017167381974
none_tabular_t7_a0.5,5,10,0,0.0
none_tabular_t7_a0.5,5,10,1,0.0
none_tabular_t7_a0.5,5,10,2,0.0
none_tabular_t7_a0.5,5,10,3,2.07667731629393
none_tabular_t7_a0.5,5,10,4,35.17017828200972
none_tabular_t7_a0.5,5,10,5,89.69957081545064
none_tabular_t7_a0.5,5,11,0,0.0
none_tabular_t7_a0.5,5,11,1,0.0
none_tabular_t7_a0.5,5,11,2,0.0
none_tabular_t7_a0.5,5,11,3,0.7987220447284346
none_tabular_t7_a0.5,5,11,4,25.12155591572123
none_tabular_t7_a0.5,5,11,5,90.98712446351931
none_tabular_t7_a0.5,5,12,0,0.0
none_tabular_t7_a0.5,5,12,1,0.0
none_tabular_t7_a0.5,5,12,2,0.0
none_tabular_t7_a0.5,5,12,3,0.1597444089456869
none_tabular_t7_a0.5,5,12,4,16.85575364667747
none_tabular_t7_a0.5,5,12,5,91.84549356223177
none_tabular_t7_a0.5,5,13,0,0.0
none_tabular_t7_a0.5,5,13,1,0.0
none_tabular_t7_a0.5,5,13,2,0.0
none_tabular_t7_a0.5,5,13,3,0.0
none_tabular_t7_a0.5,5,13,4,12.155591572123177
none_tabular_t7_a0.5,5,13,5,92.4892703862661
none_tabular_t7_a0.5,5,14,0,0.0
none_tabular_t7_a0.5,5,14,1,0.0
none_tabular_t7_a0.5,5,14,2,0.0
none_tabular_t7_a0.5,5,14,3,0.0
none_tabular_t7_a0.5,5,14,4,9.238249594813615
none_tabular_t7_a0.5,5,14,5,93.56223175965665
none_tabular_t7_a0.5,5,15,0,0.0
none_tabular_t7_a0.5,5,15,1,0.0
none_tabular_t7_a0.5,5,15,2,0.0
none_tabular_t7_a0.5,5,15,3,0.0
none_tabular_t7_a0.5,5,15,4,7.293354943273906
none_tabular_t7_a0.5,5,15,5,94.20600858369099
none_tabular_t7_a0.5,5,16,0,0.0
none_tabular_t7_a0.5,5,16,1,0.0
none_tabular_t7_a0.5,5,16,2,0.0
none_tabular_t7_a0.5,5,16,3,0.0
none_tabular_t7_a0.5,5,16,4,5.834683954619125
none_tabular_t7_a0.5,5,16,5,94.4206008583691
none_tabular_t7_a0.5,5,17,0,0.0
none_tabular_t7_a0.5,5,17,1,0.0
none_tabular_t7_a0.5,5,17,2,0.0
none_tabular_t7_a0.5,5,17,3,0.0
none_tabular_t7_a0.5,5,17,4,5.024311183144246
none_tabular_t7_a0.5,5,17,5,94.4206008583691
none_tabular_t7_a0.5,5,18,0,0.0
none_tabular_t7_a0.5,5,18,1,0.0
none_tabular_t7_a0.5,5,18,2,0.0
none_tabular_t7_a0.5,5,18,3,0.0
none_tabular_t7_a0.5,5,18,4,3.8897893030794166
none_tabular_t7_a0.5,5,18,5,94.4206008583691
none_tabular_t7_a0.5,5,19,0,0.0
none_tabular_t7_a0.5,5,19,1,0.0
none_tabular_t7_a0.5,5,19,2,0.0
none_tabular_t7_a0.5,5,19,3,0.0
none_tabular_t7_a0.5,5,19,4,2.9173419773095626
none_tabular_t7_a0.5,5,19,5,94.4206008583691
none_tabular_t7_a0.5,5,20,0,0.0
none_tabular_t7_a0.5,5,20,1,0.0
none_tabular_t7_a0.5,5,20,2,0.0
none_tabular_t7_a0.5,5,20,3,0.0
none_tabular_t7_a0.5,5,20,4,2.106969205834684
none_tabular_t7_a0.5,5,20,5,94.4206008583691
none_tabular_t7_a0.5,5,21,0,0.0
none_tabular_t7_a0.5,5,21,1,0.0
none_tabular_t7_a0.5,5,21,2,0.0
none_tabular_t7_a0.5,5,21,3,0.0
none_tabular_t7_a0.5,5,21,4,1.2965964343598055
none_tabular_t7_a0.5,5,21,5,94.4206008583691
none_tabular_t7_a0.5,5,22,0,0.0
none_tabular_t7_a0.5,5,22,1,0.0
none_tabular_t7_a0.5,5,22,2,0.0
none_tabular_t7_a0.5,5,22,3,0.0
none_tabular_t7_a0.5,5,22,4,0.6482982171799028
none_tabular_t7_a0.5,5,22,5,94.63519313304721
none_tabular_t7_a0.5,5,23,0,0.0
none_tabular_t7_a0.5,5,23,1,0.0
none_tabular_t7_a0.5,5,23,2,0.0
none_tabular_t7_a0.5,5,23,3,0.0
none_tabular_t7_a0.5,5,23,4,0.1620745542949757
