Method,Train_Task,Round,Eval_Task,Accuracy
none_tabular_t7_a1,4,34,1,0.0
none_tabular_t7_a1,4,34,2,0.0
none_tabular_t7_a1,4,34,3,0.0
none_tabular_t7_a1,4,34,4,93.03079416531604
none_tabular_t7_a1,4,35,0,0.0
none_tabular_t7_a1,4,35,1,0.0
none_tabular_t7_a1,4,35,2,0.0
none_tabular_t7_a1,4,35,3,0.0
none_tabular_t7_a1,4,35,4,93.19286871961103
none_tabular_t7_a1,4,36,0,0.0
none_tabular_t7_a1,4,36,1,0.0
none_tabular_t7_a1,4,36,2,0.0
none_tabular_t7_a1,4,36,3,0.0
none_tabular_t7_a1,4,36,4,93.19286871961103
none_tabular_t7_a1,4,37,0,0.0
none_tabular_t7_a1,4,37,1,0.0
none_tabular_t7_a1,4,37,2,0.0
none_tabular_t7_a1,4,37,3,0.0
none_tabular_t7_a1,4,37,4,93.67909238249595
none_tabular_t7_a1,4,38,0,0.0
none_tabular_t7_a1,4,38,1,0.0
none_tabular_t7_a1,4,38,2,0.0
none_tabular_t7_a1,4,38,3,0.0
none_tabular_t7_a1,4,38,4,94.0032414910859
none_tabular_t7_a1,4,39,0,0.0
none_tabular_t7_a1,4,39,1,0.0
none_tabular_t7_a1,4,39,2,0.0
none_tabular_t7_a1,4,39,3,0.0
none_tabular_t7_a1,4,39,4,94.16531604538088
none_tabular_t7_a1,4,40,0,0.0
none_tabular_t7_a1,4,40,1,0.0
none_tabular_t7_a1,4,40,2,0.0
none_tabular_t7_a1,4,40,3,0.0
none_tabular_t7_a1,4,40,4,94.48946515397083
none_tabular_t7_a1,4,41,0,0.0
none_tabular_t7_a1,4,41,1,0.0
none_tabular_t7_a1,4,41,2,0.0
none_tabular_t7_a1,4,41,3,0.0
none_tabular_t7_a1,4,41,4,94.6515397082658
none_tabular_t7_a1,4,42,0,0.0
none_tabular_t7_a1,4,42,1,0.0
none_tabular_t7_a1,4,42,2,0.0
none_tabular_t7_a1,4,42,3,0.0
none_tabular_t7_a1,4,42,4,94.6515397082658
none_tabular_t7_a1,4,43,0,0.0
none_tabular_t7_a1,4,43,1,0.0
none_tabular_t7_a1,4,43,2,0.0
none_tabular_t7_a1,4,43,3,0.0
none_tabular_t7_a1,4,43,4,94.6515397082658
none_tabular_t7_a1,4,44,0,0.0
none_tabular_t7_a1,4,44,1,0.0
none_tabular_t7_a1,4,44,2,0.0
none_tabular_t7_a1,4,44,3,0.0
none_tabular_t7_a1,4,44,4,94.97568881685575
none_tabular_t7_a1,4,45,0,0.0
none_tabular_t7_a1,4,45,1,0.0
none_tabular_t7_a1,4,45,2,0.0
none_tabular_t7_a1,4,45,3,0.0
none_tabular_t7_a1,4,45,4,94.81361426256078
none_tabular_t7_a1,4,46,0,0.0
none_tabular_t7_a1,4,46,1,0.0
none_tabular_t7_a1,4,46,2,0.0
none_tabular_t7_a1,4,46,3,0.0
none_tabular_t7_a1,4,46,4,94.97568881685575
none_tabular_t7_a1,4,47,0,0.0
none_tabular_t7_a1,4,47,1,0.0
none_tabular_t7_a1,4,47,2,0.0
none_tabular_t7_a1,4,47,3,0.0
none_tabular_t7_a1,4,47,4,95.2998379254457
none_tabular_t7_a1,4,48,0,0.0
none_tabular_t7_a1,4,48,1,0.0
none_tabular_t7_a1,4,48,2,0.0
none_tabular_t7_a1,4,48,3,0.0
none_tabular_t7_a1,4,48,4,95.46191247974068
none_tabular_t7_a1,4,49,0,0.0
none_tabular_t7_a1,4,49,1,0.0
none_tabular_t7_a1,4,49,2,0.0
none_tabular_t7_a1,4,49,3,0.0
none_tabular_t7_a1,4,49,4,95.46191247974068
none_tabular_t7_a1,4,50,0,0.0
none_tabular_t7_a1,4,50,1,0.0
none_tabular_t7_a1,4,50,2,0.0
none_tabular_t7_a1,4,50,3,0.0
none_tabular_t7_a1,4,50,4,95.46191247974068
none_tabular_t7_a1,4,51,0,0.0
none_tabular_t7_a1,4,51,1,0.0
none_tabular_t7_a1,4,51,2,0.0
none_tabular_t7_a1,4,51,3,0.0
none_tabular_t7_a1,4,51,4,95.62398703403565
none_tabular_t7_a1,4,52,0,0.0
none_tabular_t7_a1,4,52,1,0.0
none_tabular_t7_a1,4,52,2,0.0
none_tabular_t7_a1,4,52,3,0.0
none_tabular_t7_a1,4,52,4,95.62398703403565
none_tabular_t7_a1,4,53,0,0.0
none_tabular_t7_a1,4,53,1,0.0
none_tabular_t7_a1,4,53,2,0.0
none_tabular_t7_a1,4,53,3,0.0
none_tabular_t7_a1,4,53,4,95.78606158833063
none_tabular_t7_a1,4,54,0,0.0
none_tabular_t7_a1,4,54,1,0.0
none_tabular_t7_a1,4,54,2,0.0
none_tabular_t7_a1,4,54,3,0.0
none_tabular_t7_a1,4,54,4,95.78606158833063
none_tabular_t7_a1,4,55,0,0.0
none_tabular_t7_a1,4,55,1,0.0
none_tabular_t7_a1,4,55,2,0.0
none_tabular_t7_a1,4,55,3,0.0
none_tabular_t7_a1,4,55,4,95.94813614262561
none_tabular_t7_a1,4,56,0,0.0
none_tabular_t7_a1,4,56,1,0.0
none_tabular_t7_a1,4,56,2,0.0
none_tabular_t7_a1,4,56,3,0.0
none_tabular_t7_a1,4,56,4,95.94813614262561
none_tabular_t7_a1,4,57,0,0.0
none_tabular_t7_a1,4,57,1,0.0
none_tabular_t7_a1,4,57,2,0.0
none_tabular_t7_a1,4,57,3,0.0
none_tabular_t7_a1,4,57,4,95.94813614262561
none_tabular_t7_a1,4,58,0,0.0
none_tabular_t7_a1,4,58,1,0.0
none_tabular_t7_a1,4,58,2,0.0
none_tabular_t7_a1,4,58,3,0.0
none_tabular_t7_a1,4,58,4,95.94813614262561
none_tabular_t7_a1,4,59,0,0.0
none_tabular_t7_a1,4,59,1,0.0
none_tabular_t7_a1,4,59,2,0.0
none_tabular_t7_a1,4,59,3,0.0
none_tabular_t7_a1,4,59,4,95.94813614262561
none_tabular_t7_a1,4,60,0,0.0
none_tabular_t7_a1,4,60,1,0.0
none_tabular_t7_a1,4,60,2,0.0
none_tabular_t7_a1,4,60,3,0.0
none_tabular_t7_a1,4,60,4,95.94813614262561
none_tabular_t7_a1,4,61,0,0.0
none_tabular_t7_a1,4,61,1,0.0
none_tabular_t7_a1,4,61,2,0.0
none_tabular_t7_a1,4,61,3,0.0
none_tabular_t7_a1,4,61,4,96.11021069692059
none_tabular_t7_a1,4,62,0,0.0
none_tabular_t7_a1,4,62,1,0.0
none_tabular_t7_a1,4,62,2,0.0
none_tabular_t7_a1,4,62,3,0.0
none_tabular_t7_a1,4,62,4,96.27228525121556
none_tabular_t7_a1,4,63,0,0.0
none_tabular_t7_a1,4,63,1,0.0
none_tabular_t7_a1,4,63,2,0.0
none_tabular_t7_a1,4,63,3,0.0
none_tabular_t7_a1,4,63,4,96.11021069692059
none_tabular_t7_a1,4,64,0,0.0
none_tabular_t7_a1,4,64,1,0.0
none_tabular_t7_a1,4,64,2,0.0
none_tabular_t7_a1,4,64,3,0.0
none_tabular_t7_a1,4,64,4,96.11021069692059
none_tabular_t7_a1,4,65,0,0.0
none_tabular_t7_a1,4,65,1,0.0
none_tabular_t7_a1,4,65,2,0.0
none_tabular_t7_a1,4,65,3,0.0
none_tabular_t7_a1,4,65,4,96.43435980551054
none_tabular_t7_a1,4,66,0,0.0
none_tabular_t7_a1,4,66,1,0.0
none_tabular_t7_a1,4,66,2,0.0
none_tabular_t7_a1,4,66,3,0.0
none_tabular_t7_a1,4,66,4,96.59643435980551
none_tabular_t7_a1,4,67,0,0.0
none_tabular_t7_a1,4,67,1,0.0
none_tabular_t7_a1,4,67,2,0.0
none_tabular_t7_a1,4,67,3,0.0
none_tabular_t7_a1,4,67,4,96.27228525121556
none_tabular_t7_a1,4,68,0,0.0
none_tabular_t7_a1,4,68,1,0.0
none_tabular_t7_a1,4,68,2,0.0
none_tabular_t7_a1,4,68,3,0.0
none_tabular_t7_a1,4,68,4,96.27228525121556
none_tabular_t7_a1,4,69,0,0.0
none_tabular_t7_a1,4,69,1,0.0
none_tabular_t7_a1,4,69,2,0.0
none_tabular_t7_a1,4,69,3,0.0
none_tabular_t7_a1,4,69,4,96.43435980551054
none_tabular_t7_a1,4,70,0,0.0
none_tabular_t7_a1,4,70,1,0.0
none_tabular_t7_a1,4,70,2,0.0
none_tabular_t7_a1,4,70,3,0.0
none_tabular_t7_a1,4,70,4,96.43435980551054
none_tabular_t7_a1,4,71,0,0.0
none_tabular_t7_a1,4,71,1,0.0
none_tabular_t7_a1,4,71,2,0.0
none_tabular_t7_a1,4,71,3,0.0
none_tabular_t7_a1,4,71,4,96.43435980551054
none_tabular_t7_a1,4,72,0,0.0
none_tabular_t7_a1,4,72,1,0.0
none_tabular_t7_a1,4,72,2,0.0
none_tabular_t7_a1,4,72,3,0.0
none_tabular_t7_a1,4,72,4,96.43435980551054
none_tabular_t7_a1,4,73,0,0.0
none_tabular_t7_a1,4,73,1,0.0
none_tabular_t7_a1,4,73,2,0.0
none_tabular_t7_a1,4,73,3,0.0
none_tabular_t7_a1,4,73,4,96.43435980551054
none_tabular_t7_a1,4,74,0,0.0
none_tabular_t7_a1,4,74,1,0.0
none_tabular_t7_a1,4,74,2,0.0
none_tabular_t7_a1,4,74,3,0.0
none_tabular_t7_a1,4,74,4,96.43435980551054
none_tabular_t7_a1,4,75,0,0.0
none_tabular_t7_a1,4,75,1,0.0
none_tabular_t7_a1,4,75,2,0.0
none_tabular_t7_a1,4,75,3,0.0
none_tabular_t7_a1,4,75,4,96.43435980551054
none_tabular_t7_a1,4,76,0,0.0
none_tabular_t7_a1,4,76,1,0.0
none_tabular_t7_a1,4,76,2,0.0
none_tabular_t7_a1,4,76,3,0.0
none_tabular_t7_a1,4,76,4,96.43435980551054
none_tabular_t7_a1,4,77,0,0.0
none_tabular_t7_a1,4,77,1,0.0
none_tabular_t7_a1,4,77,2,0.0
none_tabular_t7_a1,4,77,3,0.0
none_tabular_t7_a1,4,77,4,96.27228525121556
none_tabular_t7_a1,4,78,0,0.0
none_tabular_t7_a1,4,78,1,0.0
none_tabular_t7_a1,4,78,2,0.0
none_tabular_t7_a1,4,78,3,0.0
none_tabular_t7_a1,4,78,4,96.43435980551054
none_tabular_t7_a1,4,79,0,0.0
none_tabular_t7_a1,4,79,1,0.0
none_tabular_t7_a1,4,79,2,0.0
none_tabular_t7_a1,4,79,3,0.0
none_tabular_t7_a1,4,79,4,96.43435980551054
none_tabular_t7_a1,4,80,0,0.0
none_tabular_t7_a1,4,80,1,0.0
none_tabular_t7_a1,4,80,2,0.0
none_tabular_t7_a1,4,80,3,0.0
none_tabular_t7_a1,4,80,4,96.43435980551054
none_tabular_t7_a1,4,81,0,0.0
none_tabular_t7_a1,4,81,1,0.0
none_tabular_t7_a1,4,81,2,0.0
none_tabular_t7_a1,4,81,3,0.0
none_tabular_t7_a1,4,81,4,96.43435980551054
none_tabular_t7_a1,4,82,0,0.0
none_tabular_t7_a1,4,82,1,0.0
none_tabular_t7_a1,4,82,2,0.0
none_tabular_t7_a1,4,82,3,0.0
none_tabular_t7_a1,4,82,4,96.43435980551054
none_tabular_t7_a1,4,83,0,0.0
none_tabular_t7_a1,4,83,1,0.0
none_tabular_t7_a1,4,83,2,0.0
none_tabular_t7_a1,4,83,3,0.0
none_tabular_t7_a1,4,83,4,96.43435980551054
none_tabular_t7_a1,4,84,0,0.0
none_tabular_t7_a1,4,84,1,0.0
none_tabular_t7_a1,4,84,2,0.0
none_tabular_t7_a1,4,84,3,0.0
none_tabular_t7_a1,4,84,4,96.43435980551054
none_tabular_t7_a1,4,85,0,0.0
none_tabular_t7_a1,4,85,1,0.0
none_tabular_t7_a1,4,85,2,0.0
none_tabular_t7_a1,4,85,3,0.0
none_tabular_t7_a1,4,85,4,96.43435980551054
none_tabular_t7_a1,4,86,0,0.0
none_tabular_t7_a1,4,86,1,0.0
none_tabular_t7_a1,4,86,2,0.0
none_tabular_t7_a1,4,86,3,0.0
none_tabular_t7_a1,4,86,4,96.43435980551054
none_tabular_t7_a1,4,87,0,0.0
none_tabular_t7_a1,4,87,1,0.0
none_tabular_t7_a1,4,87,2,0.0
none_tabular_t7_a1,4,87,3,0.0
none_tabular_t7_a1,4,87,4,96.43435980551054
none_tabular_t7_a1,4,88,0,0.0
none_tabular_t7_a1,4,88,1,0.0
none_tabular_t7_a1,4,88,2,0.0
none_tabular_t7_a1,4,88,3,0.0
none_tabular_t7_a1,4,88,4,96.43435980551054
none_tabular_t7_a1,4,89,0,0.0
none_tabular_t7_a1,4,89,1,0.0
none_tabular_t7_a1,4,89,2,0.0
none_tabular_t7_a1,4,89,3,0.0
none_tabular_t7_a1,4,89,4,96.43435980551054
none_tabular_t7_a1,4,90,0,0.0
none_tabular_t7_a1,4,90,1,0.0
none_tabular_t7_a1,4,90,2,0.0
none_tabular_t7_a1,4,90,3,0.0
none_tabular_t7_a1,4,90,4,96.43435980551054
none_tabular_t7_a1,4,91,0,0.0
none_tabular_t7_a1,4,91,1,0.0
none_tabular_t7_a1,4,91,2,0.0
none_tabular_t7_a1,4,91,3,0.0
none_tabular_t7_a1,4,91,4,96.43435980551054
none_tabular_t7_a1,4,92,0,0.0
none_tabular_t7_a1,4,92,1,0.0
none_tabular_t7_a1,4,92,2,0.0
none_tabular_t7_a1,4,92,3,0.0
none_tabular_t7_a1,4,92,4,96.43435980551054
none_tabular_t7_a1,4,93,0,0.0
none_tabular_t7_a1,4,93,1,0.0
none_tabular_t7_a1,4,93,2,0.0
none_tabular_t7_a1,4,93,3,0.0
none_tabular_t7_a1,4,93,4,96.43435980551054
none_tabular_t7_a1,4,94,0,0.0
none_tabular_t7_a1,4,94,1,0.0
none_tabular_t7_a1,4,94,2,0.0
none_tabular_t7_a1,4,94,3,0.0
none_tabular_t7_a1,4,94,4,96.43435980551054
none_tabular_t7_a1,4,95,0,0.0
none_tabular_t7_a1,4,95,1,0.0
none_tabular_t7_a1,4,95,2,0.0
none_tabular_t7_a1,4,95,3,0.0
none_tabular_t7_a1,4,95,4,96.59643435980551
none_tabular_t7_a1,4,96,0,0.0
none_tabular_t7_a1,4,96,1,0.0
none_tabular_t7_a1,4,96,2,0.0
none_tabular_t7_a1,4,96,3,0.0
none_tabular_t7_a1,4,96,4,96.43435980551054
none_tabular_t7_a1,4,97,0,0.0
none_tabular_t7_a1,4,97,1,0.0
none_tabular_t7_a1,4,97,2,0.0
none_tabular_t7_a1,4,97,3,0.0
none_tabular_t7_a1,4,97,4,96.43435980551054
none_tabular_t7_a1,4,98,0,0.0
none_tabular_t7_a1,4,98,1,0.0
none_tabular_t7_a1,4,98,2,0.0
none_tabular_t7_a1,4,98,3,0.0
none_tabular_t7_a1,4,98,4,96.75850891410049
none_tabular_t7_a1,4,99,0,0.0
none_tabular_t7_a1,4,99,1,0.0
none_tabular_t7_a1,4,99,2,0.0
none_tabular_t7_a1,4,99,3,0.0
none_tabular_t7_a1,4,99,4,96.75850891410049
none_tabular_t7_a1,4,100,0,0.0
none_tabular_t7_a1,4,100,1,0.0
none_tabular_t7_a1,4,100,2,0.0
none_tabular_t7_a1,4,100,3,0.0
none_tabular_t7_a1,4,100,4,96.75850891410049
none_tabular_t7_a1,5,1,0,0.0
none_tabular_t7_a1,5,1,1,0.0
none_tabular_t7_a1,5,1,2,0.0
none_tabular_t7_a1,5,1,3,0.0
none_tabular_t7_a1,5,1,4,96.59643435980551
none_tabular_t7_a1,5,1,5,0.0
none_tabular_t7_a1,5,2,0,0.0
none_tabular_t7_a1,5,2,1,0.0
none_tabular_t7_a1,5,2,2,0.0
none_tabular_t7_a1,5,2,3,0.0
none_tabular_t7_a1,5,2,4,93.51701782820098
none_tabular_t7_a1,5,2,5,0.0
none_tabular_t7_a1,5,3,0,0.0
none_tabular_t7_a1,5,3,1,0.0
none_tabular_t7_a1,5,3,2,0.0
none_tabular_t7_a1,5,3,3,0.6389776357827476
none_tabular_t7_a1,5,3,4,89.46515397082658
none_tabular_t7_a1,5,3,5,0.0
none_tabular_t7_a1,5,4,0,0.0
none_tabular_t7_a1,5,4,1,0.0
none_tabular_t7_a1,5,4,2,0.0
none_tabular_t7_a1,5,4,3,0.7987220447284346
none_tabular_t7_a1,5,4,4,85.41329011345219
none_tabular_t7_a1,5,4,5,0.0
none_tabular_t7_a1,5,5,0,0.0
none_tabular_t7_a1,5,5,1,0.0
none_tabular_t7_a1,5,5,2,0.3333333333333333
none_tabular_t7_a1,5,5,3,0.9584664536741214
none_tabular_t7_a1,5,5,4,82.49594813614263
none_tabular_t7_a1,5,5,5,0.0
none_tabular_t7_a1,5,6,0,0.0
none_tabular_t7_a1,5,6,1,0.0
none_tabular_t7_a1,5,6,2,3.0
none_tabular_t7_a1,5,6,3,1.597444089456869
none_tabular_t7_a1,5,6,4,80.22690437601297
none_tabular_t7_a1,5,6,5,2.7896995708154506
none_tabular_t7_a1,5,7,0,0.0
none_tabular_t7_a1,5,7,1,0.0
none_tabular_t7_a1,5,7,2,1.3333333333333333
none_tabular_t7_a1,5,7,3,2.07667731629393
none_tabular_t7_a1,5,7,4,77.79578606158833
none_tabular_t7_a1,5,7,5,35.622317596566525
none_tabular_t7_a1,5,8,0,0.0
none_tabular_t7_a1,5,8,1,0.0
none_tabular_t7_a1,5,8,2,0.0
none_tabular_t7_a1,5,8,3,2.07667731629393
none_tabular_t7_a1,5,8,4,71.96110210696921
none_tabular_t7_a1,5,8,5,74.46351931330472
none_tabular_t7_a1,5,9,0,0.0
none_tabular_t7_a1,5,9,1,0.0
none_tabular_t7_a1,5,9,2,0.0
none_tabular_t7_a1,5,9,3,1.7571884984025559
none_tabular_t7_a1,5,9,4,59.643435980551054
none_tabular_t7_a1,5,9,5,86.9098712446352
none_tabular_t7_a1,5,10,0,0.0
none_tabular_t7_a1,5,10,1,0.0
none_tabular_t7_a1,5,10,2,0.0
none_tabular_t7_a1,5,10,3,0.6389776357827476
none_tabular_t7_a1,5,10,4,49.75688816855754
none_tabular_t7_a1,5,10,5,90.34334763948497
none_tabular_t7_a1,5,11,0,0.0
none_tabular_t7_a1,5,11,1,0.0
none_tabular_t7_a1,5,11,2,0.0
none_tabular_t7_a1,5,11,3,0.1597444089456869
none_tabular_t7_a1,5,11,4,36.6288492706645
none_tabular_t7_a1,5,11,5,91.63090128755364
none_tabular_t7_a1,5,12,0,0.0
none_tabular_t7_a1,5,12,1,0.0
none_tabular_t7_a1,5,12,2,0.0
none_tabular_t7_a1,5,12,3,0.0
none_tabular_t7_a1,5,12,4,28.52512155591572
none_tabular_t7_a1,5,12,5,92.4892703862661
none_tabular_t7_a1,5,13,0,0.0
none_tabular_t7_a1,5,13,1,0.0
none_tabular_t7_a1,5,13,2,0.0
none_tabular_t7_a1,5,13,3,0.0
none_tabular_t7_a1,5,13,4,19.773095623987032
none_tabular_t7_a1,5,13,5,93.34763948497854
none_tabular_t7_a1,5,14,0,0.0
none_tabular_t7_a1,5,14,1,0.0
none_tabular_t7_a1,5,14,2,0.0
none_tabular_t7_a1,5,14,3,0.0
none_tabular_t7_a1,5,14,4,14.748784440842787
none_tabular_t7_a1,5,14,5,93.99141630901288
none_tabular_t7_a1,5,15,0,0.0
none_tabular_t7_a1,5,15,1,0.0
none_tabular_t7_a1,5,15,2,0.0
none_tabular_t7_a1,5,15,3,0.0
none_tabular_t7_a1,5,15,4,11.021069692058347
none_tabular_t7_a1,5,15,5,94.20600858369099
none_tabular_t7_a1,5,16,0,0.0
none_tabular_t7_a1,5,16,1,0.0
none_tabular_t7_a1,5,16,2,0.0
none_tabular_t7_a1,5,16,3,0.0
none_tabular_t7_a1,5,16,4,9.724473257698541
none_tabular_t7_a1,5,16,5,94.4206008583691
none_tabular_t7_a1,5,17,0,0.0
none_tabular_t7_a1,5,17,1,0.0
none_tabular_t7_a1,5,17,2,0.0
none_tabular_t7_a1,5,17,3,0.0
none_tabular_t7_a1,5,17,4,8.26580226904376
none_tabular_t7_a1,5,17,5,94.63519313304721
none_tabular_t7_a1,5,18,0,0.0
none_tabular_t7_a1,5,18,1,0.0
none_tabular_t7_a1,5,18,2,0.0
none_tabular_t7_a1,5,18,3,0.0
none_tabular_t7_a1,5,18,4,6.482982171799027
none_tabular_t7_a1,5,18,5,94.63519313304721
none_tabular_t7_a1,5,19,0,0.0
none_tabular_t7_a1,5,19,1,0.0
none_tabular_t7_a1,5,19,2,0.0
none_tabular_t7_a1,5,19,3,0.0
none_tabular_t7_a1,5,19,4,5.186385737439222
none_tabular_t7_a1,5,19,5,94.84978540772532
none_tabular_t7_a1,5,20,0,0.0
none_tabular_t7_a1,5,20,1,0.0
none_tabular_t7_a1,5,20,2,0.0
none_tabular_t7_a1,5,20,3,0.0
none_tabular_t7_a1,5,20,4,4.213938411669368
none_tabular_t7_a1,5,20,5,94.84978540772532
none_tabular_t7_a1,5,21,0,0.0
none_tabular_t7_a1,5,21,1,0.0
none_tabular_t7_a1,5,21,2,0.0
none_tabular_t7_a1,5,21,3,0.0
none_tabular_t7_a1,5,21,4,4.051863857374392
none_tabular_t7_a1,5,21,5,95.27896995708154
none_tabular_t7_a1,5,22,0,0.0
none_tabular_t7_a1,5,22,1,0.0
none_tabular_t7_a1,5,22,2,0.0
none_tabular_t7_a1,5,22,3,0.0
none_tabular_t7_a1,5,22,4,3.4035656401944894
none_tabular_t7_a1,5,22,5,95.27896995708154
none_tabular_t7_a1,5,23,0,0.0
none_tabular_t7_a1,5,23,1,0.0
none_tabular_t7_a1,5,23,2,0.0
none_tabular_t7_a1,5,23,3,0.0
none_tabular_t7_a1,5,23,4,3.079416531604538
none_tabular_t7_a1,5,23,5,95.27896995708154
none_tabular_t7_a1,5,24,0,0.0
none_tabular_t7_a1,5,24,1,0.0
none_tabular_t7_a1,5,24,2,0.0
none_tabular_t7_a1,5,24,3,0.0
none_tabular_t7_a1,5,24,4,1.6207455429497568
none_tabular_t7_a1,5,24,5,95.27896995708154
none_tabular_t7_a1,5,25,0,0.0
none_tabular_t7_a1,5,25,1,0.0
none_tabular_t7_a1,5,25,2,0.0
none_tabular_t7_a1,5,25,3,0.0
none_tabular_t7_a1,5,25,4,1.2965964343598055
none_tabular_t7_a1,5,25,5,95.27896995708154
none_tabular_t7_a1,5,26,0,0.0
none_tabular_t7_a1,5,26,1,0.0
none_tabular_t7_a1,5,26,2,0.0
none_tabular_t7_a1,5,26,3,0.0
none_tabular_t7_a1,5,26,4,1.2965964343598055
none_tabular_t7_a1,5,26,5,95.27896995708154
none_tabular_t7_a1,5,27,0,0.0
none_tabular_t7_a1,5,27,1,0.0
none_tabular_t7_a1,5,27,2,0.0
none_tabular_t7_a1,5,27,3,0.0
none_tabular_t7_a1,5,27,4,0.9724473257698542
none_tabular_t7_a1,5,27,5,95.27896995708154
none_tabular_t7_a1,5,28,0,0.0
none_tabular_t7_a1,5,28,1,0.0
none_tabular_t7_a1,5,28,2,0.0
none_tabular_t7_a1,5,28,3,0.0
none_tabular_t7_a1,5,28,4,0.8103727714748784
none_tabular_t7_a1,5,28,5,95.27896995708154
none_tabular_t7_a1,5,29,0,0.0
none_tabular_t7_a1,5,29,1,0.0
none_tabular_t7_a1,5,29,2,0.0
none_tabular_t7_a1,5,29,3,0.0
none_tabular_t7_a1,5,29,4,0.6482982171799028
none_tabular_t7_a1,5,29,5,95.70815450643777
none_tabular_t7_a1,5,30,0,0.0
none_tabular_t7_a1,5,30,1,0.0
none_tabular_t7_a1,5,30,2,0.0
none_tabular_t7_a1,5,30,3,0.0
none_tabular_t7_a1,5,30,4,0.0
none_tabular_t7_a1,5,30,5,95.70815450643777
none_tabular_t7_a1,5,31,0,0.0
none_tabular_t7_a1,5,31,1,0.0
none_tabular_t7_a1,5,31,2,0.0
none_tabular_t7_a1,5,31,3,0.0
none_tabular_t7_a1,5,31,4,0.0
none_tabular_t7_a1,5,31,5,95.70815450643777
none_tabular_t7_a1,5,32,0,0.0
none_tabular_t7_a1,5,32,1,0.0
none_tabular_t7_a1,5,32,2,0.0
none_tabular_t7_a1,5,32,3,0.0
none_tabular_t7_a1,5,32,4,0.0
none_tabular_t7_a1,5,32,5,96.3519313304721
none_tabular_t7_a1,5,33,0,0.0
none_tabular_t7_a1,5,33,1,0.0
none_tabular_t7_a1,5,33,2,0.0
none_tabular_t7_a1,5,33,3,0.0
none_tabular_t7_a1,5,33,4,0.0
none_tabular_t7_a1,5,33,5,96.3519313304721
none_tabular_t7_a1,5,34,0,0.0
none_tabular_t7_a1,5,34,1,0.0
none_tabular_t7_a1,5,34,2,0.0
none_tabular_t7_a1,5,34,3,0.0
none_tabular_t7_a1,5,34,4,0.0
none_tabular_t7_a1,5,34,5,96.3519313304721
none_tabular_t7_a1,5,35,0,0.0
none_tabular_t7_a1,5,35,1,0.0
none_tabular_t7_a1,5,35,2,0.0
none_tabular_t7_a1,5,35,3,0.0
none_tabular_t7_a1,5,35,4,0.0
none_tabular_t7_a1,5,35,5,96.56652360515021
none_tabular_t7_a1,5,36,0,0.0
none_tabular_t7_a1,5,36,1,0.0
none_tabular_t7_a1,5,36,2,0.0
none_tabular_t7_a1,5,36,3,0.0
none_tabular_t7_a1,5,36,4,0.0
none_tabular_t7_a1,5,36,5,96.56652360515021
none_tabular_t7_a1,5,37,0,0.0
none_tabular_t7_a1,5,37,1,0.0
none_tabular_t7_a1,5,37,2,0.0
none_tabular_t7_a1,5,37,3,0.0
none_tabular_t7_a1,5,37,4,0.0
none_tabular_t7_a1,5,37,5,96.56652360515021
none_tabular_t7_a1,5,38,0,0.0
none_tabular_t7_a1,5,38,1,0.0
none_tabular_t7_a1,5,38,2,0.0
none_tabular_t7_a1,5,38,3,0.0
none_tabular_t7_a1,5,38,4,0.0
none_tabular_t7_a1,5,38,5,96.78111587982832
none_tabular_t7_a1,5,39,0,0.0
none_tabular_t7_a1,5,39,1,0.0
none_tabular_t7_a1,5,39,2,0.0
none_tabular_t7_a1,5,39,3,0.0
none_tabular_t7_a1,5,39,4,0.0
none_tabular_t7_a1,5,39,5,96.56652360515021
none_tabular_t7_a1,5,40,0,0.0
none_tabular_t7_a1,5,40,1,0.0
none_tabular_t7_a1,5,40,2,0.0
none_tabular_t7_a1,5,40,3,0.0
none_tabular_t7_a1,5,40,4,0.0
none_tabular_t7_a1,5,40,5,96.78111587982832
none_tabular_t7_a1,5,41,0,0.0
none_tabular_t7_a1,5,41,1,0.0
none_tabular_t7_a1,5,41,2,0.0
none_tabular_t7_a1,5,41,3,0.0
none_tabular_t7_a1,5,41,4,0.0
none_tabular_t7_a1,5,41,5,96.99570815450643
none_tabular_t7_a1,5,42,0,0.0
none_tabular_t7_a1,5,42,1,0.0
none_tabular_t7_a1,5,42,2,0.0
none_tabular_t7_a1,5,42,3,0.0
none_tabular_t7_a1,5,42,4,0.0
none_tabular_t7_a1,5,42,5,96.99570815450643
none_tabular_t7_a1,5,43,0,0.0
none_tabular_t7_a1,5,43,1,0.0
none_tabular_t7_a1,5,43,2,0.0
none_tabular_t7_a1,5,43,3,0.0
none_tabular_t7_a1,5,43,4,0.0
none_tabular_t7_a1,5,43,5,96.99570815450643
none_tabular_t7_a1,5,44,0,0.0
none_tabular_t7_a1,5,44,1,0.0
none_tabular_t7_a1,5,44,2,0.0
none_tabular_t7_a1,5,44,3,0.0
none_tabular_t7_a1,5,44,4,0.0
none_tabular_t7_a1,5,44,5,96.99570815450643
none_tabular_t7_a1,5,45,0,0.0
none_tabular_t7_a1,5,45,1,0.0
none_tabular_t7_a1,5,45,2,0.0
none_tabular_t7_a1,5,45,3,0.0
none_tabular_t7_a1,5,45,4,0.0
none_tabular_t7_a1,5,45,5,97.21030042918454
none_tabular_t7_a1,5,46,0,0.0
none_tabular_t7_a1,5,46,1,0.0
none_tabular_t7_a1,5,46,2,0.0
