Method,Train_Task,Round,Eval_Task,Accuracy
kmeans+tts_tabular_t10_a1,0,1,0,63.53711790393013
kmeans+tts_tabular_t10_a1,0,2,0,76.20087336244542
kmeans+tts_tabular_t10_a1,0,3,0,84.06113537117903
kmeans+tts_tabular_t10_a1,0,4,0,89.95633187772926
kmeans+tts_tabular_t10_a1,0,5,0,94.10480349344978
kmeans+tts_tabular_t10_a1,0,6,0,96.72489082969432
kmeans+tts_tabular_t10_a1,0,7,0,96.94323144104804
kmeans+tts_tabular_t10_a1,0,8,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,9,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,10,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,11,0,96.94323144104804
kmeans+tts_tabular_t10_a1,0,12,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,13,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,14,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,15,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,16,0,97.16157205240175
kmeans+tts_tabular_t10_a1,0,17,0,97.37991266375546
kmeans+tts_tabular_t10_a1,0,18,0,97.37991266375546
kmeans+tts_tabular_t10_a1,0,19,0,97.37991266375546
kmeans+tts_tabular_t10_a1,0,20,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,21,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,22,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,23,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,24,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,25,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,26,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,27,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,28,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,29,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,30,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,31,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,32,0,97.59825327510917
kmeans+tts_tabular_t10_a1,0,33,0,97.81659388646288
kmeans+tts_tabular_t10_a1,0,34,0,97.81659388646288
kmeans+tts_tabular_t10_a1,0,35,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,36,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,37,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,38,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,39,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,40,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,41,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,42,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,43,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,44,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,45,0,98.2532751091703
kmeans+tts_tabular_t10_a1,0,46,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,47,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,48,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,49,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,50,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,51,0,98.47161572052401
kmeans+tts_tabular_t10_a1,0,52,0,98.68995633187772
kmeans+tts_tabular_t10_a1,0,53,0,98.68995633187772
